utc_key,lat,lon,alt,sats,hdop,fix_quality
075557000000,21.006297000,105.841950333,6.700,12,0.63,4
075558000000,21.006297000,105.841950333,6.700,12,0.57,4
075559000000,21.006297000,105.841950167,6.700,12,0.57,4
075600000000,21.006297000,105.841950167,6.700,12,0.57,4
075601000000,21.006297000,105.841950167,6.800,12,0.57,4
075602000000,21.006296833,105.841950500,6.800,12,0.57,4
075603000000,21.006296667,105.841950500,6.800,12,0.57,4
075604000000,21.006296833,105.841950333,6.800,12,0.57,4
075605000000,21.006296833,105.841950333,6.800,12,0.57,4
075606000000,21.006296833,105.841950333,6.800,12,0.57,4
075607000000,21.006296833,105.841950333,6.800,12,0.57,4
075608000000,21.006296667,105.841950333,6.800,12,0.57,4
075609000000,21.006296667,105.841950333,6.800,12,0.57,4
075610000000,21.006296833,105.841950333,6.800,12,0.57,4
075611000000,21.006296667,105.841950333,6.800,12,0.57,4
075612000000,21.006296667,105.841950333,6.800,12,0.57,4
075613000000,21.006296667,105.841950333,6.800,12,0.57,4
075614000000,21.006296833,105.841950333,6.800,12,0.57,4
075615000000,21.006296667,105.841950333,6.800,12,0.57,4
075616000000,21.006296667,105.841950333,6.800,12,0.58,4
075617000000,21.006296667,105.841950333,6.800,12,0.58,4
075618000000,21.006296667,105.841950333,6.800,12,0.58,4
075619000000,21.006296667,105.841950333,6.800,12,0.57,4
075620000000,21.006296667,105.841950333,6.800,12,0.57,4
075621000000,21.006296667,105.841950333,6.800,12,0.57,4
075622000000,21.006296667,105.841950333,6.800,12,0.57,4
075623000000,21.006296667,105.841950333,6.800,12,0.57,4
075624000000,21.006296667,105.841950333,6.800,12,0.57,4
075625000000,21.006296667,105.841950333,6.800,12,0.57,4
075626000000,21.006296667,105.841950333,6.700,12,0.57,4
075627000000,21.006296667,105.841950333,6.800,12,0.57,4
075628000000,21.006296667,105.841950333,6.700,12,0.57,4
075629000000,21.006296667,105.841950333,6.800,12,0.57,4
075630000000,21.006296667,105.841950333,6.700,12,0.57,4
075631000000,21.006296667,105.841950333,6.800,12,0.57,4
075632000000,21.006296833,105.841950333,6.800,12,0.57,4
075633000000,21.006296667,105.841950333,6.800,12,0.57,4
075634000000,21.006296833,105.841950333,6.800,12,0.57,4
075635000000,21.006296833,105.841950333,6.800,12,0.57,4
075636000000,21.006296833,105.841950333,6.800,12,0.57,4
075637000000,21.006296833,105.841950333,6.800,12,0.58,4
075638000000,21.006296833,105.841950333,6.800,12,0.58,4
075639000000,21.006296667,105.841950500,6.800,12,0.58,4
075640000000,21.006296667,105.841950500,6.800,12,0.58,4
075641000000,21.006296667,105.841950500,6.800,12,0.58,4
075642000000,21.006296833,105.841950333,6.800,12,0.58,4
075643000000,21.006296833,105.841950500,6.800,12,0.59,4
075644000000,21.006296833,105.841950500,6.800,12,0.59,4
075645000000,21.006296667,105.841950500,6.700,12,0.6,4
075646000000,21.006296667,105.841950500,6.700,12,0.6,4
075647000000,21.006296667,105.841950500,6.700,12,0.6,4
075648000000,21.006296667,105.841950500,6.700,12,0.6,4
